Local time in Wurzburg,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
30.05.2019 23:00,15.4,745.4,769.6,,68,Wind blowing from the west,1,,,"90  or more, but not 100%", ,,,,,,,2000-2500,,,70.0,9.4,,,,,,
30.05.2019 22:00,16.9,745.3,769.3,,59,Wind blowing from the north-west,2,,,"90  or more, but not 100%", ,,,,,,,2000-2500,,,55.0,8.8,,,,,,
30.05.2019 21:00,18.2,745.0,768.9,,53,Wind blowing from the north-west,3,,,100%., ,,,,,,,1500-2000,,,60.0,8.5,,,,,,
30.05.2019 20:00,18.9,744.7,768.6,,49,Wind blowing from the north-west,4,,,100%., ,,,8.6,21.4,,,1500-2000,,,70.0,8.0,No precipitation,12,,,,
30.05.2019 19:00,19.5,744.6,768.4,,47,Wind blowing from the west-northwest,4,,,100%., ,,,,,,,1500-2000,,,70.0,7.7,,,,,,
30.05.2019 18:00,19.5,744.7,768.5,,41,Wind blowing from the north-northwest,4,,,100%., ,,,,,,,1500-2000,,,70.0,5.9,,,,,,
30.05.2019 17:00,20.1,744.7,768.4,,40,Wind blowing from the north-west,6,,,100%., ,,,,,,,2000-2500,,,45.0,6.2,,,,,,
30.05.2019 16:00,20.2,744.7,768.5,,44,Wind blowing from the west,5,,,100%., ,,,,,,,1500-2000,,,60.0,7.4,,,,,,
30.05.2019 15:00,19.8,744.7,768.6,,41,Wind blowing from the west,4,,,"90  or more, but not 100%", ,,,,,,,1500-2000,,,70.0,6.0,,,,,,
30.05.2019 14:00,20.2,744.8,768.6,,42,Wind blowing from the south-west,6,,,50%., ,,,,,,,1500-2000,,,65.0,6.9,No precipitation,6,,,,
30.05.2019 13:00,19.8,745.1,769.0,,44,Wind blowing from the south-west,5,,,"10%  or less, but not 0", ,,,,,,,1500-2000,,,60.0,7.1,,,,,,
30.05.2019 12:00,18.4,745.4,769.3,,47,Wind blowing from the south-west,3,,,no clouds, ,,,,,,,,,,50.0,6.7,,,,,,
30.05.2019 11:00,16.8,745.7,769.8,,57,Wind blowing from the south-southwest,4,,,no clouds, ,,,5.2,,,,,,,45.0,8.3,,,,,,
30.05.2019 10:00,15.2,745.9,770.1,,67,Wind blowing from the south,2,,,"10%  or less, but not 0", ,,,,,,,"2500 or more, or no clouds.",,,24.0,9.1,,,,,,
30.05.2019 09:00,11.5,745.7,770.2,,77,Wind blowing from the south,2,,,"90  or more, but not 100%", ,,,,,,,"2500 or more, or no clouds.",,,18.0,7.6,,,,,,
30.05.2019 08:00,8.6,745.6,770.4,,84,Wind blowing from the south-southeast,2,,,"90  or more, but not 100%", ,Fog,Visibility reduced.,5.2,14.1,,,"2500 or more, or no clouds.",,,11.0,6.1,No precipitation,12,,,,
30.05.2019 07:00,6.2,745.4,770.5,,92,Wind blowing from the south-southeast,1,,,50%.,Fog ,Fog,Visibility reduced.,,,,,"2500 or more, or no clouds.",,,3.6,5.0,,,,,,
30.05.2019 06:00,5.4,745.2,770.2,,97,Wind blowing from the south,1,,,no clouds,Fog ,Fog,Visibility reduced.,,,,,,,,2.6,4.9,,,,,,
30.05.2019 05:00,5.6,744.9,769.9,,96,Wind blowing from the south-southeast,2,,,"10%  or less, but not 0",Fog ,Fog,Visibility reduced.,,,,,Less than  50,,,1.8,5.0,,,,,,
30.05.2019 04:00,6.1,744.9,769.9,,96,Wind blowing from the south-southeast,2,,,no clouds,Fog ,Fog,Visibility reduced.,,,,,,,,3.1,5.5,,,,,,
