month_year,w_humidity,w_temperature,w_weight,w_flow,s_humidity,s_temperature,s_weight,s_flow,w_city_temp,w_city_humid,s_city_temp,s_city_humid
2017-01,88.92,4.13,52.12,-29.17,97.48,10.2,50215.16,-19.6,2.21,78.65,5.02,85.15
2017-02,86.74,11.56,50.0,-169.3,90.81,13.6,49183.05,-36.3,4.79,79.71,4.78,83.71
2017-03,80.17,16.01,48.71,-1272.61,94.62,21.4,47667.16,276.58,9.82,73.82,10.2,73.62
2017-04,86.3,22.66,49.59,-1681.17,92.79,33.64,50097.46,-431.9,8.59,71.86,8.79,73.63
2017-05,65.1,27.1,56.68,-4814.9,76.89,34.74,63299.94,2064.52,14.96,72.08,15.31,72.58
2017-06,48.56,29.04,67.2,-10028.47,66.17,34.6,77828.8,29228.07,16.11,68.12,15.21,75.36
2017-07,54.6,28.24,64.3,-4433.52,65.45,33.7,80581.97,29880.67,16.15,73.58,16.28,76.17
2017-08,65.31,26.79,59.65,-1462.87,74.27,30.99,54004.65,14738.94,15.71,73.95,15.19,76.3
2017-09,78.45,18.65,55.93,-330.15,82.3,22.66,57315.57,-189.5,11.34,81.34,12.48,81.26
2017-10,76.47,19.41,56.99,418.74,90.99,18.05,59041.97,483.87,10.54,81.44,11.31,84.79
2017-11,82.72,9.97,55.46,2.43,89.66,8.42,52575.31,-61.9,6.43,84.2,7.56,87.72
2017-12,86.3,6.3,54.37,-22.19,90.75,5.06,50947.46,-39.15,6.09,83.12,6.32,88.67
2018-01,82.7,11.18,52.59,-52.93,92.9,4.98,50558.33,-4.23,6.85,77.39,6.32,85.42
2018-02,78.74,4.4,51.5,-35.07,96.04,1.74,49719.94,-5.11,3.07,70.68,4.43,75.49
2018-03,74.4,9.43,50.1,86.52,92.7,3.74,49194.09,-4.19,7.21,72.99,6.52,73.84
2018-04,69.19,24.29,51.26,-199.76,88.09,12.73,47296.18,24.59,14.4,66.7,13.04,73.41
2018-05,63.41,27.7,61.0,-3289.11,84.05,28.22,9875.86,-178.22,13.74,71.03,13.84,72.04
2018-06,,,,,,,,,,,,
2018-07,,,,,,,,,,,,
2018-08,,,,,,,,,,,,
2018-09,,,,,,,,,,,,
2018-10,73.59,20.71,57.91,-599.65,94.24,20.32,67282.33,-197.05,10.47,75.36,11.56,73.74
2018-11,78.78,12.93,55.92,-167.7,98.78,11.93,66462.41,0.0,7.06,79.29,7.2,81.25
2018-12,85.33,7.75,53.21,-14.96,99.71,14.43,65747.65,-2.69,7.76,77.02,7.75,84.14
2019-01,87.71,4.38,53.88,-2.74,99.99,23.82,64939.85,-2.63,0.22,80.47,1.01,84.42
2019-02,80.7,11.78,52.57,-340.62,99.9,26.31,63378.06,87.5,5.95,67.54,7.36,66.58
2019-03,76.67,18.29,50.63,-1876.96,96.58,31.12,62703.44,-384.0,7.38,69.58,7.82,75.93
2019-04,71.9,24.45,53.68,-7943.0,92.94,34.89,72208.62,-1832.3,10.59,60.34,11.49,62.73
2019-05,72.45,23.35,51.28,-4478.15,90.01,35.16,78008.38,-3471.62,9.07,70.36,11.22,71.06
